program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp20/seth/cfiles32/list-ext-properties/simple-ext.i,c1,0,0,0,0,0,0,53.85%,TRUE,-1,1,-1
/home/administrator/Desktop/exp20/seth/cfiles32/list-ext2-properties/simple_search_value-2.i,c1,0,0,0,0,0,0,20.0%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/seth/cfiles32/forester-heap/sll-rb-sentinel-2.i,c1,0,0,0,0,0,0,8.0%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/seth/cfiles32/forester-heap/dll-circular-1.i,c1,0,0,0,0,0,0,61.9%,TRUE,-1,1,-1
/home/administrator/Desktop/exp20/seth/cfiles32/seq-mthreaded/pals_opt-floodmax.3.4.ufo.BOUNDED-6.pals.c,c1,0,0,0,0,0,0,7.0%,UNKNOWN,-1,4,-1
/home/administrator/Desktop/exp20/seth/cfiles32/float-newlib/double_req_bl_0870a.c,c1,6.2,21,336,37.5,3,8,3.87%,UNKNOWN,-1,1,-1
