mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.14907245635986327,0.2261919403785034,0.020654892921447753,0.0006486624574524877,10,{'estimator__n_estimators': 10},0.787280701754386,0.844298245614035,0.8489702517162471,0.9061784897025172,0.9107551487414188,0.8970251716247138,0.9038901601830664,0.8649885583524027,0.9130434782608696,0.8581235697940501,0.8734553775743705,0.03833221848408224,141
0.08035242557525635,0.001690577082291256,0.021733403205871582,0.0008149496301054639,11,{'estimator__n_estimators': 11},0.7850877192982456,0.8596491228070174,0.874141876430206,0.9107551487414188,0.9199084668192219,0.9016018306636155,0.9176201372997712,0.860411899313501,0.8947368421052632,0.851258581235698,0.8775171624713958,0.03904175725184862,138
0.08786747455596924,0.0025512526632268167,0.022798371315002442,0.0004917202952000472,12,{'estimator__n_estimators': 12},0.7894736842105264,0.8464912280701754,0.8649885583524027,0.9176201372997712,0.9107551487414188,0.906178489702517,0.9199084668192219,0.8787185354691075,0.9038901601830664,0.8627002288329519,0.880072463768116,0.03879943228437461,124
0.09574353694915771,0.0075040536390201355,0.023660707473754882,0.0004850655704696975,13,{'estimator__n_estimators': 13},0.787280701754386,0.8464912280701754,0.8672768878718534,0.9199084668192219,0.9290617848970253,0.8924485125858123,0.9153318077803205,0.8558352402745996,0.9153318077803203,0.8627002288329519,0.8791666666666667,0.041724381487323076,130
0.10530853271484375,0.00934039096956639,0.024870538711547853,0.0004402523009329265,14,{'estimator__n_estimators': 14},0.7807017543859649,0.8552631578947368,0.8672768878718536,0.9084668192219679,0.9244851258581236,0.8947368421052632,0.9107551487414188,0.8558352402745996,0.9130434782608696,0.8672768878718536,0.8777841342486651,0.040465855323064404,137
0.10625288486480713,0.0027501149611287284,0.0256091833114624,0.00037985663368736726,15,{'estimator__n_estimators': 15},0.793859649122807,0.8421052631578947,0.8672768878718534,0.9199084668192219,0.9244851258581236,0.8993135011441646,0.9153318077803203,0.8627002288329519,0.9244851258581236,0.862700228832952,0.8812166285278413,0.04095570480834004,109
0.11357307434082031,0.005096465920169344,0.026996517181396486,0.0006447355507814396,16,{'estimator__n_estimators': 16},0.7916666666666666,0.8421052631578947,0.8672768878718536,0.919908466819222,0.917620137299771,0.8901601830663615,0.9221967963386727,0.851258581235698,0.9199084668192219,0.8672768878718536,0.8789378337147216,0.041063093310581236,133
0.1184030294418335,0.0017339923137928207,0.027843141555786134,0.00044452714355327236,17,{'estimator__n_estimators': 17},0.7828947368421053,0.844298245614035,0.8695652173913043,0.9153318077803203,0.9267734553775743,0.8970251716247138,0.9153318077803205,0.8489702517162471,0.9130434782608696,0.8604118993135013,0.8773646071700991,0.04261006387592668,139
0.1365304708480835,0.011284573511726011,0.03279764652252197,0.009456838649591173,18,{'estimator__n_estimators': 18},0.7916666666666667,0.8289473684210525,0.8764302059496568,0.919908466819222,0.9176201372997712,0.906178489702517,0.9153318077803203,0.8512585812356978,0.9176201372997712,0.8649885583524027,0.8789950419527077,0.042213849236393874,132
0.13319432735443115,0.0032279811203062463,0.030470871925354005,0.0008344047487149783,19,{'estimator__n_estimators': 19},0.7828947368421052,0.8355263157894737,0.8695652173913043,0.919908466819222,0.9290617848970253,0.8993135011441646,0.9130434782608696,0.8535469107551487,0.9221967963386727,0.8535469107551489,0.8778604118993135,0.04484994510755955,136
0.14062230587005614,0.005346597285282869,0.03167688846588135,0.0010485857180972172,20,{'estimator__n_estimators': 20},0.7960526315789475,0.8486842105263158,0.8695652173913043,0.9244851258581236,0.9199084668192219,0.8993135011441646,0.917620137299771,0.8718535469107551,0.9130434782608696,0.8581235697940504,0.8818649885583524,0.03885698747392011,98
0.14771897792816163,0.0041564533567700086,0.03366069793701172,0.001802716211995325,21,{'estimator__n_estimators': 21},0.7872807017543859,0.8355263157894737,0.8695652173913043,0.919908466819222,0.9267734553775746,0.906178489702517,0.9244851258581236,0.8604118993135013,0.9153318077803203,0.851258581235698,0.8796720061022121,0.04425535766682867,126
0.1544438600540161,0.0032637889215559107,0.03370366096496582,0.0006687894704163173,22,{'estimator__n_estimators': 22},0.7828947368421053,0.850877192982456,0.860411899313501,0.9267734553775744,0.9221967963386727,0.9084668192219679,0.9199084668192219,0.8581235697940504,0.9221967963386727,0.8558352402745996,0.8807684973302822,0.044575567893920365,116
0.1560828447341919,0.0035723175434835153,0.03390047550201416,0.00019863082238656454,23,{'estimator__n_estimators': 23},0.793859649122807,0.8442982456140351,0.8718535469107551,0.9153318077803203,0.9290617848970251,0.9016018306636155,0.931350114416476,0.8581235697940504,0.9038901601830664,0.8489702517162471,0.8798340961098396,0.041871107843001756,125
0.16826517581939698,0.009557422657198581,0.03585352897644043,0.0006902522259919646,24,{'estimator__n_estimators': 24},0.7960526315789475,0.8530701754385964,0.8764302059496567,0.9244851258581236,0.931350114416476,0.9016018306636155,0.919908466819222,0.8764302059496567,0.9176201372997712,0.860411899313501,0.8857360793287565,0.0399285497084862,3
0.1700756549835205,0.0016571393304891774,0.03609497547149658,0.0002910936597147387,25,{'estimator__n_estimators': 25},0.7894736842105263,0.8421052631578947,0.8649885583524027,0.9130434782608696,0.9176201372997712,0.9038901601830662,0.919908466819222,0.8581235697940501,0.9153318077803203,0.8627002288329519,0.8787185354691076,0.04066536042275418,134
