program_name,configuration,branch_coverage,error_cover,
eca-rers2012/Problem11_label27.c,cmp_laf,56.83,UNKNOWN,5683
eca-rers2012/Problem11_label35.c,cmp,56.83,UNKNOWN,5683
eca-rers2012/Problem11_label35.c,nil,56.83,UNKNOWN,5683
eca-rers2012/Problem11_label35.c,laf,56.83,UNKNOWN,5683
eca-rers2012/Problem11_label35.c,cmp_laf,56.83,UNKNOWN,5683
eca-rers2012/Problem14_label54.c,cmp,85,TRUE,8500
eca-rers2012/Problem14_label54.c,nil,85,TRUE,8500
eca-rers2012/Problem14_label54.c,laf,85,TRUE,8500
eca-rers2012/Problem14_label54.c,cmp_laf,85,TRUE,8500
ntdrivers-simplified/cdaudio_simpl1.cil-1.c,cmp,65.76,TRUE,6576
ntdrivers-simplified/cdaudio_simpl1.cil-1.c,nil,31.79,UNKNOWN,3179
ntdrivers-simplified/cdaudio_simpl1.cil-1.c,laf,68.75,TRUE,6875
ntdrivers-simplified/cdaudio_simpl1.cil-1.c,cmp_laf,68.75,TRUE,6875
ntdrivers-simplified/cdaudio_simpl1.cil-2.c,cmp,66.12,UNKNOWN,6612
ntdrivers-simplified/cdaudio_simpl1.cil-2.c,nil,31.15,UNKNOWN,3115
ntdrivers-simplified/cdaudio_simpl1.cil-2.c,laf,68.03,UNKNOWN,6803
ntdrivers-simplified/cdaudio_simpl1.cil-2.c,cmp_laf,68.31,UNKNOWN,6831
ntdrivers-simplified/diskperf_simpl1.cil.c,cmp,66.08,UNKNOWN,6608
ntdrivers-simplified/diskperf_simpl1.cil.c,nil,58.48,UNKNOWN,5848
ntdrivers-simplified/diskperf_simpl1.cil.c,laf,63.74,UNKNOWN,6374
ntdrivers-simplified/diskperf_simpl1.cil.c,cmp_laf,63.16,UNKNOWN,6316
ntdrivers-simplified/floppy_simpl3.cil-1.c,cmp,69.61,TRUE,6961
ntdrivers-simplified/floppy_simpl3.cil-1.c,nil,76.8,TRUE,7680
ntdrivers-simplified/floppy_simpl3.cil-1.c,laf,71.82,TRUE,7182
ntdrivers-simplified/floppy_simpl3.cil-1.c,cmp_laf,75.14,TRUE,7514
ntdrivers-simplified/floppy_simpl3.cil-2.c,cmp,72.38,UNKNOWN,7238
ntdrivers-simplified/floppy_simpl3.cil-2.c,nil,73.48,UNKNOWN,7348
ntdrivers-simplified/floppy_simpl3.cil-2.c,laf,77.9,UNKNOWN,7790
ntdrivers-simplified/floppy_simpl3.cil-2.c,cmp_laf,76.24,UNKNOWN,7624
ntdrivers-simplified/floppy_simpl4.cil-1.c,cmp,73.58,TRUE,7358
ntdrivers-simplified/floppy_simpl4.cil-1.c,nil,76.98,TRUE,7698
ntdrivers-simplified/floppy_simpl4.cil-1.c,laf,80.75,TRUE,8075
ntdrivers-simplified/floppy_simpl4.cil-1.c,cmp_laf,80,TRUE,8000
ntdrivers-simplified/floppy_simpl4.cil-2.c,cmp,78.49,UNKNOWN,7849
ntdrivers-simplified/floppy_simpl4.cil-2.c,nil,77.74,UNKNOWN,7774
ntdrivers-simplified/floppy_simpl4.cil-2.c,laf,81.51,UNKNOWN,8151
ntdrivers-simplified/floppy_simpl4.cil-2.c,cmp_laf,80.38,UNKNOWN,8038
ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,cmp,49.5,UNKNOWN,4950
ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,nil,50,UNKNOWN,5000
ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,laf,65.5,UNKNOWN,6550
ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,cmp_laf,65.5,UNKNOWN,6550
openssl/s3_srvr.blast.07.i.cil-1.c,cmp,74.88,UNKNOWN,7488
openssl/s3_srvr.blast.07.i.cil-1.c,nil,74.88,UNKNOWN,7488
openssl/s3_srvr.blast.07.i.cil-1.c,laf,74.88,UNKNOWN,7488
openssl/s3_srvr.blast.07.i.cil-1.c,cmp_laf,74.88,UNKNOWN,7488
openssl/s3_srvr.blast.09.i.cil-1.c,cmp,74.88,UNKNOWN,7488
openssl/s3_srvr.blast.09.i.cil-1.c,nil,74.88,UNKNOWN,7488
openssl/s3_srvr.blast.09.i.cil-1.c,laf,75.36,UNKNOWN,7536
openssl/s3_srvr.blast.09.i.cil-1.c,cmp_laf,74.41,UNKNOWN,7441
openssl/s3_srvr.blast.15.i.cil-2.c,cmp,68.49,UNKNOWN,6849
openssl/s3_srvr.blast.15.i.cil-2.c,nil,68.49,UNKNOWN,6849
openssl/s3_srvr.blast.15.i.cil-2.c,laf,69.41,UNKNOWN,6941
openssl/s3_srvr.blast.15.i.cil-2.c,cmp_laf,69.86,UNKNOWN,6986
openssl-simplified/s3_srvr_8.cil.c,cmp,65.07,UNKNOWN,6507
openssl-simplified/s3_srvr_8.cil.c,nil,65.07,UNKNOWN,6507
openssl-simplified/s3_srvr_8.cil.c,laf,65.55,UNKNOWN,6555
openssl-simplified/s3_srvr_8.cil.c,cmp_laf,66.03,UNKNOWN,6603
seq-mthreaded/pals_opt-floodmax.5.1.ufo.BOUNDED-10.pals.c,cmp,7.28,UNKNOWN,728
seq-mthreaded/pals_opt-floodmax.5.1.ufo.BOUNDED-10.pals.c,nil,7.11,UNKNOWN,711
seq-mthreaded/pals_opt-floodmax.5.1.ufo.BOUNDED-10.pals.c,laf,7.11,UNKNOWN,711
seq-mthreaded/pals_opt-floodmax.5.1.ufo.BOUNDED-10.pals.c,cmp_laf,7.11,UNKNOWN,711
seq-mthreaded/pals_opt-floodmax.5.1.ufo.UNBOUNDED.pals.c,cmp,6.27,UNKNOWN,627
seq-mthreaded/pals_opt-floodmax.5.1.ufo.UNBOUNDED.pals.c,nil,6.35,UNKNOWN,635
seq-mthreaded/pals_opt-floodmax.5.1.ufo.UNBOUNDED.pals.c,laf,6.44,UNKNOWN,644
seq-mthreaded/pals_opt-floodmax.5.1.ufo.UNBOUNDED.pals.c,cmp_laf,6.35,UNKNOWN,635
seq-mthreaded/pals_opt-floodmax.5.2.ufo.BOUNDED-10.pals.c,cmp,6.86,UNKNOWN,686
seq-mthreaded/pals_opt-floodmax.5.2.ufo.BOUNDED-10.pals.c,nil,7.03,UNKNOWN,703
seq-mthreaded/pals_opt-floodmax.5.2.ufo.BOUNDED-10.pals.c,laf,7.12,UNKNOWN,712
seq-mthreaded/pals_opt-floodmax.5.2.ufo.BOUNDED-10.pals.c,cmp_laf,6.36,UNKNOWN,636
seq-mthreaded/pals_opt-floodmax.5.4.ufo.BOUNDED-10.pals.c,cmp,6.95,UNKNOWN,695
seq-mthreaded/pals_opt-floodmax.5.4.ufo.BOUNDED-10.pals.c,nil,6.86,UNKNOWN,686
seq-mthreaded/pals_opt-floodmax.5.4.ufo.BOUNDED-10.pals.c,laf,6.61,UNKNOWN,661
seq-mthreaded/pals_opt-floodmax.5.4.ufo.BOUNDED-10.pals.c,cmp_laf,6.61,UNKNOWN,661
seq-mthreaded/pals_opt-floodmax.5.ufo.BOUNDED-10.pals.c,cmp,7.2,UNKNOWN,720
seq-mthreaded/pals_opt-floodmax.5.ufo.BOUNDED-10.pals.c,nil,6.95,UNKNOWN,695
seq-mthreaded/pals_opt-floodmax.5.ufo.BOUNDED-10.pals.c,laf,6.02,UNKNOWN,602
