program_name,configuration,branch_coverage,error_cover
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,cmp,87.85,TRUE
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,cmp_laf,88.3,TRUE
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,nil,88.41,TRUE
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,laf,88.41,TRUE
combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,nil,81.62,UNKNOWN
combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,laf,81.62,UNKNOWN
combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,cmp_laf,81.62,UNKNOWN
combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,cmp,81.72,UNKNOWN
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,nil,81.54,UNKNOWN
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,laf,81.54,UNKNOWN
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,cmp_laf,81.54,UNKNOWN
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,cmp,81.64,UNKNOWN
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,cmp,79.15,UNKNOWN
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,nil,79.15,UNKNOWN
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,laf,79.15,UNKNOWN
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,cmp_laf,79.15,UNKNOWN
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,cmp,79.23,UNKNOWN
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,nil,79.23,UNKNOWN
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,laf,79.23,UNKNOWN
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,cmp_laf,79.33,UNKNOWN
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,laf,79.23,UNKNOWN
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,cmp_laf,79.23,UNKNOWN
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,cmp,79.33,UNKNOWN
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,nil,79.33,UNKNOWN
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,cmp,79.23,TRUE
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,nil,79.23,TRUE
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,laf,79.23,TRUE
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,cmp_laf,79.23,TRUE
eca-rers2012/Problem01_label58.c,cmp,56.77,UNKNOWN
eca-rers2012/Problem01_label58.c,nil,56.77,UNKNOWN
eca-rers2012/Problem01_label58.c,laf,56.77,UNKNOWN
eca-rers2012/Problem01_label58.c,cmp_laf,56.77,UNKNOWN
eca-rers2012/Problem01_label59.c,cmp,56.77,UNKNOWN
eca-rers2012/Problem01_label59.c,nil,56.77,UNKNOWN
eca-rers2012/Problem01_label59.c,laf,56.77,UNKNOWN
eca-rers2012/Problem01_label59.c,cmp_laf,56.77,UNKNOWN
eca-rers2012/Problem11_label25.c,cmp,56.83,UNKNOWN
eca-rers2012/Problem11_label25.c,nil,56.83,UNKNOWN
eca-rers2012/Problem11_label25.c,laf,56.83,UNKNOWN
eca-rers2012/Problem11_label25.c,cmp_laf,56.83,UNKNOWN
eca-rers2012/Problem11_label27.c,cmp,56.83,UNKNOWN
eca-rers2012/Problem11_label27.c,nil,56.83,UNKNOWN
eca-rers2012/Problem11_label27.c,laf,56.83,UNKNOWN
eca-rers2012/Problem11_label27.c,cmp_laf,56.83,UNKNOWN
eca-rers2012/Problem11_label35.c,cmp,56.83,UNKNOWN
eca-rers2012/Problem11_label35.c,nil,56.83,UNKNOWN
eca-rers2012/Problem11_label35.c,laf,56.83,UNKNOWN
eca-rers2012/Problem11_label35.c,cmp_laf,56.83,UNKNOWN
eca-rers2012/Problem14_label54.c,cmp,85,TRUE
eca-rers2012/Problem14_label54.c,nil,85,TRUE
eca-rers2012/Problem14_label54.c,laf,85,TRUE
eca-rers2012/Problem14_label54.c,cmp_laf,85,TRUE
ntdrivers-simplified/cdaudio_simpl1.cil-1.c,nil,60,UNKNOWN
ntdrivers-simplified/cdaudio_simpl1.cil-1.c,cmp,65.76,TRUE
ntdrivers-simplified/cdaudio_simpl1.cil-1.c,laf,68.75,TRUE
ntdrivers-simplified/cdaudio_simpl1.cil-1.c,cmp_laf,68.75,TRUE
ntdrivers-simplified/cdaudio_simpl1.cil-2.c,nil,60,UNKNOWN
ntdrivers-simplified/cdaudio_simpl1.cil-2.c,cmp,66.12,UNKNOWN
ntdrivers-simplified/cdaudio_simpl1.cil-2.c,laf,68.03,UNKNOWN
ntdrivers-simplified/cdaudio_simpl1.cil-2.c,cmp_laf,68.31,UNKNOWN
ntdrivers-simplified/diskperf_simpl1.cil.c,nil,58.48,UNKNOWN
ntdrivers-simplified/diskperf_simpl1.cil.c,cmp_laf,63.16,UNKNOWN
ntdrivers-simplified/diskperf_simpl1.cil.c,laf,63.74,UNKNOWN
ntdrivers-simplified/diskperf_simpl1.cil.c,cmp,66.08,UNKNOWN
ntdrivers-simplified/floppy_simpl3.cil-1.c,cmp,69.61,TRUE
ntdrivers-simplified/floppy_simpl3.cil-1.c,laf,71.82,TRUE
ntdrivers-simplified/floppy_simpl3.cil-1.c,cmp_laf,75.14,TRUE
ntdrivers-simplified/floppy_simpl3.cil-1.c,nil,76.8,TRUE
ntdrivers-simplified/floppy_simpl3.cil-2.c,cmp,72.38,UNKNOWN
ntdrivers-simplified/floppy_simpl3.cil-2.c,nil,73.48,UNKNOWN
ntdrivers-simplified/floppy_simpl3.cil-2.c,cmp_laf,76.24,UNKNOWN
ntdrivers-simplified/floppy_simpl3.cil-2.c,laf,77.9,UNKNOWN
ntdrivers-simplified/floppy_simpl4.cil-1.c,cmp,73.58,TRUE
ntdrivers-simplified/floppy_simpl4.cil-1.c,nil,76.98,TRUE
ntdrivers-simplified/floppy_simpl4.cil-1.c,cmp_laf,80,TRUE
ntdrivers-simplified/floppy_simpl4.cil-1.c,laf,80.75,TRUE
ntdrivers-simplified/floppy_simpl4.cil-2.c,nil,77.74,UNKNOWN
ntdrivers-simplified/floppy_simpl4.cil-2.c,cmp,78.49,UNKNOWN
ntdrivers-simplified/floppy_simpl4.cil-2.c,cmp_laf,80.38,UNKNOWN
ntdrivers-simplified/floppy_simpl4.cil-2.c,laf,81.51,UNKNOWN
ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,cmp,49.5,UNKNOWN
ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,nil,50,UNKNOWN
ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,laf,65.5,UNKNOWN
ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,cmp_laf,65.5,UNKNOWN
openssl/s3_srvr.blast.07.i.cil-1.c,cmp,74.88,UNKNOWN
openssl/s3_srvr.blast.07.i.cil-1.c,nil,74.88,UNKNOWN
openssl/s3_srvr.blast.07.i.cil-1.c,laf,74.88,UNKNOWN
openssl/s3_srvr.blast.07.i.cil-1.c,cmp_laf,74.88,UNKNOWN
openssl/s3_srvr.blast.09.i.cil-1.c,cmp_laf,74.41,UNKNOWN
openssl/s3_srvr.blast.09.i.cil-1.c,cmp,74.88,UNKNOWN
openssl/s3_srvr.blast.09.i.cil-1.c,nil,74.88,UNKNOWN
openssl/s3_srvr.blast.09.i.cil-1.c,laf,75.36,UNKNOWN
openssl/s3_srvr.blast.15.i.cil-2.c,cmp,68.49,UNKNOWN
openssl/s3_srvr.blast.15.i.cil-2.c,nil,68.49,UNKNOWN
openssl/s3_srvr.blast.15.i.cil-2.c,laf,69.41,UNKNOWN
openssl/s3_srvr.blast.15.i.cil-2.c,cmp_laf,69.86,UNKNOWN
openssl-simplified/s3_srvr_8.cil.c,cmp,65.07,UNKNOWN
openssl-simplified/s3_srvr_8.cil.c,nil,65.07,UNKNOWN
openssl-simplified/s3_srvr_8.cil.c,laf,65.55,UNKNOWN
openssl-simplified/s3_srvr_8.cil.c,cmp_laf,66.03,UNKNOWN
systemc/token_ring.04.cil-2.c,laf,72.32,TRUE
systemc/token_ring.04.cil-2.c,nil,73.45,TRUE
systemc/token_ring.04.cil-2.c,cmp,74.58,TRUE
systemc/token_ring.04.cil-2.c,cmp_laf,74.58,TRUE
systemc/token_ring.06.cil-1.c,cmp,73.64,TRUE
systemc/token_ring.06.cil-1.c,cmp_laf,73.64,TRUE
systemc/token_ring.06.cil-1.c,nil,74.48,TRUE
systemc/token_ring.06.cil-1.c,laf,74.48,TRUE
