program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp20/seth/cfiles32/float-newlib/float_req_bl_0870a.c,c1,5.6,19,337,33.3,3,9,5.26%,TRUE,4.436000108718872,2,1
/home/administrator/Desktop/exp20/seth/cfiles32/xcsp/AllInterval-013.c,c1,0,0,0,0,0,0,23.08%,UNKNOWN,-1,198,-1
/home/administrator/Desktop/exp20/seth/cfiles32/verifythis/tree_del_rec.c,c1,0,0,0,0,0,0,0,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/seth/cfiles32/float-benchs/inv_Newton.c.p+cfa-reducer.c,c1,16.4,9,55,33.3,1,3,60.0%,TRUE,0.20399999618530273,1,1
/home/administrator/Desktop/exp20/seth/cfiles32/floats-cdfpl/newton_3_6.i,c1,88.2,15,17,80.0,4,5,100.0%,TRUE,0.23599982261657715,2,1
