mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.13723182678222656,0.009504765830973162,0.03346259593963623,0.008851268159506057,124,{'estimator__n_estimators': 124},0.793859649122807,0.8596491228070177,0.874141876430206,0.9221967963386727,0.9176201372997712,0.8832951945080092,0.9176201372997712,0.8466819221967963,0.9244851258581236,0.8695652173913043,0.880911517925248,0.03959824493895246,91
0.1401582956314087,0.009686471829354814,0.03498544692993164,0.008690319120195435,125,{'estimator__n_estimators': 125},0.7916666666666667,0.8596491228070177,0.8695652173913043,0.9221967963386727,0.9176201372997712,0.8855835240274599,0.9176201372997712,0.8489702517162471,0.9244851258581236,0.8695652173913043,0.880692219679634,0.04001747143376309,94
0.13228447437286378,0.009291342958157157,0.025120806694030762,0.0018912268638565128,126,{'estimator__n_estimators': 126},0.793859649122807,0.8596491228070177,0.8718535469107551,0.9199084668192219,0.919908466819222,0.8855835240274599,0.9153318077803203,0.8443935926773454,0.9244851258581236,0.8718535469107551,0.8806826849733028,0.03959041999558108,96
0.14316787719726562,0.007393132147676619,0.03421609401702881,0.005464029691694723,127,{'estimator__n_estimators': 127},0.7916666666666667,0.8596491228070177,0.8718535469107551,0.9199084668192219,0.9176201372997712,0.8855835240274599,0.9153318077803203,0.8466819221967963,0.9244851258581236,0.8718535469107551,0.8804633867276888,0.0396535139307942,104
0.13331074714660646,0.008379138515081446,0.03011932373046875,0.0071767555859634955,128,{'estimator__n_estimators': 128},0.793859649122807,0.8574561403508772,0.8718535469107551,0.9199084668192219,0.919908466819222,0.8832951945080092,0.9130434782608696,0.8466819221967963,0.9244851258581236,0.8695652173913043,0.8800057208237986,0.03934559271015053,111
0.1434762716293335,0.017769322113954086,0.03340382575988769,0.00843628125458463,129,{'estimator__n_estimators': 129},0.7894736842105264,0.8574561403508772,0.8718535469107551,0.9221967963386727,0.9176201372997712,0.8832951945080092,0.9130434782608695,0.8466819221967963,0.9244851258581236,0.8718535469107551,0.8797959572845157,0.040277968376153994,113
0.14882054328918456,0.015208914876039963,0.0336287260055542,0.007248922420887517,130,{'estimator__n_estimators': 130},0.7894736842105263,0.8574561403508772,0.8718535469107551,0.9199084668192219,0.9221967963386729,0.8832951945080092,0.9153318077803203,0.8466819221967963,0.9244851258581236,0.8718535469107551,0.8802536231884058,0.04069004378351213,107
0.1426703691482544,0.012373476980671032,0.028220272064208983,0.004672313348644149,131,{'estimator__n_estimators': 131},0.7894736842105264,0.8596491228070177,0.8695652173913043,0.9199084668192219,0.9176201372997712,0.8832951945080092,0.917620137299771,0.8466819221967963,0.9244851258581236,0.8718535469107551,0.8800152555301297,0.040382587007744546,110
0.14837150573730468,0.010685746799106556,0.03142824172973633,0.006365122278623027,132,{'estimator__n_estimators': 132},0.7894736842105264,0.8574561403508772,0.8695652173913043,0.9199084668192219,0.9176201372997712,0.8832951945080092,0.9153318077803203,0.8489702517162471,0.9244851258581236,0.8718535469107551,0.8797959572845157,0.04010860208655404,113
0.14215075969696045,0.008874261830912495,0.03177821636199951,0.0062405133411237755,133,{'estimator__n_estimators': 133},0.787280701754386,0.8574561403508772,0.8695652173913043,0.9199084668192219,0.919908466819222,0.8832951945080092,0.917620137299771,0.8466819221967963,0.9244851258581236,0.8718535469107551,0.8798054919908467,0.041207390288081534,112
0.14103345870971679,0.009435080089025707,0.030419111251831055,0.006511104232607435,134,{'estimator__n_estimators': 134},0.7894736842105264,0.8574561403508772,0.8695652173913043,0.9199084668192219,0.9176201372997712,0.8832951945080092,0.9153318077803203,0.8466819221967963,0.9244851258581236,0.8695652173913043,0.8793382913806255,0.040339566662032804,119
0.14702699184417725,0.009251328703567084,0.031378889083862306,0.006676475415087998,135,{'estimator__n_estimators': 135},0.7894736842105263,0.8574561403508772,0.8695652173913043,0.9199084668192219,0.9176201372997712,0.8832951945080092,0.9153318077803203,0.8466819221967963,0.9221967963386727,0.8695652173913043,0.8791094584286803,0.04008852394826641,123
0.144327712059021,0.006377258923049276,0.03201158046722412,0.006864216613522897,136,{'estimator__n_estimators': 136},0.787280701754386,0.8574561403508772,0.8695652173913043,0.9221967963386727,0.9176201372997712,0.8832951945080092,0.9153318077803203,0.8466819221967963,0.9244851258581236,0.8695652173913043,0.8793478260869565,0.04106418144049264,118
0.14526939392089844,0.009623502189975047,0.032874321937561034,0.007149457747419369,137,{'estimator__n_estimators': 137},0.7916666666666667,0.8574561403508772,0.8695652173913043,0.9199084668192219,0.9153318077803205,0.8832951945080092,0.9153318077803203,0.8466819221967963,0.9221967963386727,0.8695652173913043,0.8790999237223494,0.0393847084936375,124
0.14568164348602294,0.008951530367312154,0.0316162109375,0.0053810116081614255,138,{'estimator__n_estimators': 138},0.787280701754386,0.8574561403508772,0.8695652173913043,0.9199084668192219,0.9176201372997712,0.8832951945080092,0.9153318077803203,0.8466819221967963,0.9244851258581236,0.8695652173913043,0.8791189931350114,0.04083047593839372,122
0.14209165573120117,0.008669336685640383,0.030239105224609375,0.005087440577058713,139,{'estimator__n_estimators': 139},0.7916666666666667,0.8552631578947368,0.8695652173913043,0.9221967963386727,0.919908466819222,0.8832951945080092,0.9153318077803203,0.8466819221967963,0.9244851258581236,0.8695652173913043,0.8797959572845157,0.04043947724822299,113
0.15143139362335206,0.011082017679696078,0.03088722229003906,0.0034806003826927195,140,{'estimator__n_estimators': 140},0.7894736842105263,0.8552631578947368,0.8695652173913043,0.9199084668192219,0.9176201372997712,0.8832951945080092,0.9153318077803203,0.8466819221967963,0.9221967963386727,0.8695652173913043,0.8788901601830663,0.04021218282023327,125
0.147886061668396,0.004188030835846315,0.028618693351745605,0.0027924545871351627,141,{'estimator__n_estimators': 141},0.7916666666666667,0.8552631578947368,0.8695652173913043,0.9221967963386727,0.9153318077803205,0.8832951945080092,0.9130434782608695,0.8466819221967963,0.9221967963386727,0.8695652173913043,0.8788806254767353,0.03955025723368874,126
