program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp500_new/cfiles32/array-examples/standard_init1_ground-1.i,c2,0,0,0,0,0,0,71.43%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/array-examples/standard_init1_ground-2.i,c2,90,9,10,66.7,2,3,71.43%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/array-examples/standard_partial_init_ground.i,c2,0,0,0,0,0,0,7.69%,-1,19,-1
/home/administrator/Desktop/exp500_new/cfiles32/array-fpi/res1o.c,c2,95.5,21,22,75,3,4,92.86%,-1,16,-1
/home/administrator/Desktop/exp500_new/cfiles32/array-fpi/s2lif.c,c2,90.5,19,21,75,3,4,85.71%,-1,21,-1
/home/administrator/Desktop/exp500_new/cfiles32/array-fpi/s52if.c,c2,87,20,23,75,3,4,81.25%,-1,17,-1
/home/administrator/Desktop/exp500_new/cfiles32/array-fpi/s5if.c,c2,89.5,17,19,75,3,4,83.33%,-1,20,-1
/home/administrator/Desktop/exp500_new/cfiles32/array-industry-pattern/array_assert_loop_dep.i,c2,0,0,0,0,0,0,77.78%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/array-industry-pattern/array_of_struct_ptr_flag_init.i,c2,81.2,13,16,50,2,4,61.54%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/array-industry-pattern/array_of_struct_ptr_monotonic.i,c2,0,0,0,0,0,0,27.27%,351.8559875,22,2
/home/administrator/Desktop/exp500_new/cfiles32/array-industry-pattern/array_ptr_single_elem_init-1.i,c2,0,0,0,0,0,0,40.00%,692.3559756,25,1
/home/administrator/Desktop/exp500_new/cfiles32/array-lopstr16/break-2.i,c2,90.9,10,11,66.7,2,3,81.82%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/array-lopstr16/partial_lesser_bound-1.i,c2,0,0,0,0,0,0,0,-1,1,-1
