program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
/home/sarath/Desktop/exp20_without_equality/cfiles32/floats-cdfpl/sine_4.i,c51,83.3,10,12,66.7,2,3,60.0%,UNKNOWN,-1.0,24,-1
/home/sarath/Desktop/exp20_without_equality/cfiles32/ldv-regression/test22-2.c,c2,87.5,21,24,80.0,4,5,75.0%,UNKNOWN,0.2880001068115234,3,1
/home/sarath/Desktop/exp20_without_equality/cfiles32/ldv-regression/test22-2.c,c51,87.5,21,24,80.0,4,5,87.5%,UNKNOWN,0.7119998931884766,7,16
/home/sarath/Desktop/exp20_without_equality/cfiles32/loop-floats-scientific-comp/loop2-2.c,c2,96.0,24,25,75.0,3,4,80.0%,UNKNOWN,-1.0,11,-1
/home/sarath/Desktop/exp20_without_equality/cfiles32/loop-floats-scientific-comp/loop2-2.c,c51,96.0,24,25,75.0,3,4,80.0%,UNKNOWN,-1.0,100,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/array-tiling/skipped.c,c2,95.2,20,21,75.0,3,4,88.89%,UNKNOWN,-1.0,140,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/array-tiling/skipped.c,c51,95.2,20,21,75.0,3,4,88.89%,UNKNOWN,-1.0,382,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/array-tiling/tcpy.c,c2,95.0,19,20,75.0,3,4,85.71%,UNKNOWN,-1.0,34,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/array-tiling/tcpy.c,c51,95.0,19,20,75.0,3,4,85.71%,UNKNOWN,-1.0,38,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/gcd_1.c,c2,90.0,18,20,75.0,3,4,60.0%,UNKNOWN,-1.0,3,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/gcd_1.c,c51,90.0,18,20,75.0,3,4,70.0%,UNKNOWN,-1.0,4,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/num_conversion_2.c,c2,88.2,15,17,66.7,2,3,83.33%,UNKNOWN,-1.0,1,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/num_conversion_2.c,c51,88.2,15,17,66.7,2,3,83.33%,UNKNOWN,-1.0,1,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/soft_float_1-1.c.cil.c,c2,69.2,117,169,66.7,4,6,68.42%,UNKNOWN,-1.0,209,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/soft_float_1-1.c.cil.c,c51,69.2,117,169,66.7,4,6,68.42%,UNKNOWN,-1.0,241,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/loop-invariants/linear-inequality-inv-a.c,c2,73.7,14,19,50.0,1,2,75.0%,UNKNOWN,-1.0,11,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/loop-invariants/linear-inequality-inv-a.c,c51,73.7,14,19,50.0,1,2,75.0%,UNKNOWN,-1.0,12,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/loop-invgen/fragtest_simple.i,c2,80.0,24,30,50.0,2,4,66.67%,UNKNOWN,-1.0,23,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/loop-invgen/fragtest_simple.i,c51,83.3,25,30,50.0,2,4,73.33%,UNKNOWN,-1.0,154,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/loop-invgen/nest-if3.i,c2,73.7,14,19,50.0,2,4,64.71%,UNKNOWN,-1.0,87,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/loop-invgen/nest-if3.i,c51,73.7,14,19,50.0,2,4,76.47%,UNKNOWN,-1.0,350,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/loop-lit/hhk2008.i,c2,20.0,4,20,25.0,1,4,9.09%,UNKNOWN,-1.0,1,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/loop-lit/hhk2008.i,c51,75.0,15,20,50.0,2,4,63.64%,UNKNOWN,-1.0,29,-1
