mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__criterion,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.2277928113937378,0.30160159449931884,0.022496676445007323,0.0034821941961519294,gini,20,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 20}",0.7443609022556391,0.7894736842105263,0.7819548872180452,0.7869674185463659,0.761904761904762,0.768421052631579,0.726315789473684,0.8052631578947368,0.8289473684210528,0.7789473684210526,0.7772556390977444,0.027777025573825605,209
0.13764386177062987,0.009469672489596355,0.02647244930267334,0.004646553501234575,gini,21,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 21}",0.736842105263158,0.7794486215538847,0.7769423558897243,0.7744360902255639,0.7593984962406014,0.7710526315789474,0.7263157894736842,0.8052631578947369,0.8236842105263157,0.786842105263158,0.7740225563909775,0.02743308125967309,367
0.13656103610992432,0.005877790235158962,0.025882840156555176,0.0036462513311616876,gini,22,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 22}",0.7343358395989974,0.7593984962406015,0.7694235588972431,0.7719298245614035,0.7819548872180451,0.768421052631579,0.7131578947368421,0.8157894736842105,0.8289473684210527,0.7921052631578948,0.773546365914787,0.03270957314227219,373
0.1567317247390747,0.024411881660321353,0.02652707099914551,0.003474152858131558,gini,23,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 23}",0.7343358395989976,0.7669172932330827,0.7744360902255639,0.7719298245614036,0.761904761904762,0.7631578947368421,0.7236842105263159,0.8052631578947367,0.8315789473684211,0.7921052631578949,0.7725313283208021,0.030037246326157226,385
0.16098811626434326,0.010834866948837587,0.02646632194519043,0.004170660093771587,gini,24,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 24}",0.7343358395989974,0.7518796992481203,0.7744360902255639,0.7669172932330826,0.7619047619047619,0.7657894736842106,0.731578947368421,0.8026315789473685,0.8210526315789474,0.7921052631578946,0.7702631578947369,0.02710726763282957,392
0.1559809684753418,0.010983954817963387,0.029689908027648926,0.012801560100748607,gini,25,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 25}",0.7493734335839599,0.7694235588972431,0.7568922305764412,0.7744360902255639,0.7593984962406015,0.7657894736842106,0.7315789473684211,0.8078947368421052,0.8368421052631578,0.7973684210526316,0.7748997493734336,0.029387771078084192,341
0.15625743865966796,0.007321849761184428,0.025864577293395995,0.004622845212869782,gini,26,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 26}",0.7644110275689223,0.7719298245614035,0.7769423558897244,0.7543859649122806,0.7619047619047619,0.7710526315789474,0.7210526315789475,0.8052631578947368,0.8289473684210525,0.8,0.7755889724310776,0.02845234162810169,317
0.20336198806762695,0.04111070886282337,0.0357114315032959,0.009031846078649722,gini,27,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 27}",0.7393483709273184,0.7794486215538846,0.7719298245614035,0.7644110275689222,0.7644110275689222,0.768421052631579,0.7315789473684211,0.8026315789473685,0.8289473684210527,0.786842105263158,0.7737969924812031,0.02693095579762239,370
0.19768815040588378,0.0395750083589623,0.03081645965576172,0.005570000120578454,gini,28,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 28}",0.7393483709273184,0.7869674185463659,0.7644110275689223,0.7719298245614035,0.7593984962406014,0.7710526315789474,0.7342105263157895,0.7973684210526315,0.8368421052631579,0.7815789473684212,0.774310776942356,0.02796766773440842,361
0.18243069648742677,0.009281580369474794,0.03197050094604492,0.004183498985620386,gini,29,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 29}",0.7393483709273183,0.7869674185463659,0.7593984962406015,0.7719298245614034,0.7593984962406016,0.7657894736842105,0.7210526315789474,0.8052631578947368,0.8342105263157894,0.8026315789473685,0.7745989974937343,0.031763644643652486,351
0.1918858528137207,0.01068284741388109,0.03667857646942139,0.016483291376118762,gini,30,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 30}",0.7518796992481204,0.7819548872180451,0.7644110275689224,0.769423558897243,0.7619047619047619,0.7657894736842106,0.7315789473684211,0.8026315789473685,0.8315789473684211,0.7842105263157895,0.7745363408521303,0.026296794672381534,355
0.2023529052734375,0.005273802019776669,0.03292295932769775,0.004465936489521041,gini,31,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 31}",0.7443609022556391,0.7694235588972431,0.7619047619047619,0.7744360902255639,0.7694235588972432,0.7710526315789474,0.7263157894736841,0.7973684210526315,0.8289473684210527,0.7868421052631579,0.7730075187969925,0.02658888017936315,379
0.21226072311401367,0.008716543234580938,0.03503391742706299,0.0048678425927303984,gini,32,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 32}",0.7418546365914788,0.7844611528822054,0.7593984962406015,0.7443609022556391,0.7719298245614034,0.7605263157894737,0.7368421052631579,0.8078947368421051,0.8263157894736842,0.8000000000000002,0.7733583959899748,0.028911336057065376,375
0.2077692747116089,0.007623342706797976,0.03337864875793457,0.003938842931494081,gini,33,"{'estimator__criterion': 'gini', 'estimator__n_estimators': 33}",0.7468671679197995,0.7794486215538847,0.7694235588972431,0.7669172932330826,0.769423558897243,0.7710526315789474,0.718421052631579,0.8052631578947368,0.8394736842105263,0.8026315789473685,0.776892230576441,0.03155303866159081,239
