program_name,c81,c82,c83,c84,c85,c86,c87,c88
cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label04.c,81.46333333,81.42666667,81.53333333,81.29,81.25666667,81.46333333,81.25333333,81.46
cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label05.c,81.66666667,81.5,81.42666667,81.49666667,81.67,81.6,81.18333333,81.6
cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label09.c,81.49666667,81.53333333,81.39,81.39333333,81.39333333,81.63333333,81.25666667,81.49666667
cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label01.c,79.06333333,78.96333333,78.86333333,78.76333333,79.09666667,78.83,79.16333333,78.96333333
cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label02.c,79.06333333,78.89666667,79.16333333,78.83,78.9,78.89666667,79.19666667,79.13
cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label04.c,79.16333333,79.16333333,79.09666667,79.03,78.99666667,78.93,78.96333333,78.86333333
cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label05.c,79.03,79.06333333,78.93,79.16333333,79.06333333,78.76333333,79.03,79.26333333
cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label09.c,78.99666667,79.16333333,79.03,79.06333333,79.09666667,79.19666667,79.13,78.99666667
cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label02.c,79.01666667,79.01666667,79.01666667,79.05,78.65,78.85,79.15,78.88333333
cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label04.c,79.08333333,78.85,78.88333333,79.05,78.88333333,79.11666667,79.11666667,79.01666667
cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label05.c,79.08333333,78.98333333,79.08333333,78.85,78.98333333,78.95,79.08333333,78.91666667
cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,78.98333333,79.01666667,79.05,78.65,78.75,78.88333333,78.78333333,78.98333333
cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label00.c,79.06333333,79.16333333,79.13,78.96333333,79.09666667,78.96333333,79.16333333,79.16333333
cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,78.99666667,79.13,79.19666667,79.19666667,79.26333333,78.89666667,79.16333333,79.13
cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,79.16333333,79.06333333,79.13,78.86333333,79.16333333,79.13,79.09666667,78.86333333
cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,78.93,79.13,79.16333333,79.16333333,79.03,78.96333333,79.19666667,78.96333333
cfiles32/combinations/square_1+soft_float_4-2a.c.cil.c,64.78,66.04,65.41,64.78,64.78,66.04,65.41,64.15
cfiles32/combinations/square_2+soft_float_1-2a.c.cil.c,70.98,70.97666667,70.19333333,69.41,70.59,70.97666667,70.98,70.58666667
cfiles32/combinations/square_2+soft_float_2a.c.cil.c,69.59333333,69.00666667,70.18,69.59333333,70.18,69.59333333,69.59333333,67.83666667
cfiles32/combinations/square_2+soft_float_4-2a.c.cil.c,66.04,64.15,66.04,66.04,65.41,65.41,66.04,65.41
cfiles32/combinations/square_3+soft_float_4-2a.c.cil.c,65.41,64.78,66.04,66.04,65.41,64.78,65.41,64.78
cfiles32/eca-rers2012/Problem16_label06.c,90.79,83.29,90.70666667,80.13333333,90.79,76.21333333,90.70666667,83.63
cfiles32/eca-rers2012/Problem16_label07.c,87.98,87.72333333,90.70666667,73.91333333,89.17,84.91,90.79,90.79
cfiles32/float-benchs/sin_interpolated_bigrange_loose.c,90,90,90,90,90,90,90,90
cfiles32/float-newlib/double_req_bl_0660b.c,12.68,12.68,12.68,12.68,12.68,12.68,12.68,12.68
cfiles32/float-newlib/float_req_bl_0660a.c,12.86,12.86,12.86,12.86,12.86,12.86,12.86,12.86
cfiles32/float-newlib/float_req_bl_0661a.c,12.86,12.86,12.86,12.86,12.86,12.86,12.86,12.86
cfiles32/float-newlib/float_req_bl_0661b.c,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29
cfiles32/floats-cdfpl/sine_4.i,60,60,60,60,60,60,60,60
cfiles32/ldv-regression/test22-2.c,87.5,91.66666667,87.5,95.83333333,91.66666667,87.5,87.5,91.66666667
cfiles32/loop-floats-scientific-comp/loop2-2.c,80,80,80,80,80,80,80,80
cfiles32/loop-invariants/linear-inequality-inv-a.c,75,75,75,75,54.16666667,75,75,75
cfiles32/loop-invgen/fragtest_simple.i,73.33,71.11,73.33,73.33,73.33,71.11,73.33,73.33
cfiles32/loop-invgen/nest-if3.i,72.55,74.51,70.59,76.47,74.51,76.47,76.47,74.51
cfiles32/loop-lit/hhk2008.i,63.64,63.64,63.64,63.64,63.64,63.64,63.64,63.64
