mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__metric,param_estimator__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.1184009075164795,0.279326673639176,0.00825810432434082,0.0014150206743270438,euclidean,1,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 1}",0.23809523809523808,0.2857142857142857,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.25,0.35,0.5,0.3,0.25,0.27928571428571425,0.09172725270544675,64
0.025296568870544434,0.0014471577973009444,0.007956624031066895,0.0011722459717072398,euclidean,2,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 2}",0.19047619047619047,0.23809523809523808,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.25,0.25,0.5,0.2,0.2,0.2447619047619048,0.09338555390425511,86
0.024840068817138673,0.002668837763965139,0.008853864669799805,0.0010996495366940684,euclidean,3,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 3}",0.23809523809523808,0.2857142857142857,0.19047619047619047,0.2857142857142857,0.3333333333333333,0.25,0.35,0.5,0.3,0.25,0.2983333333333333,0.0805103477807247,2
0.02586057186126709,0.0015325948115972115,0.009587883949279785,0.0006173294535609262,euclidean,4,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 4}",0.19047619047619047,0.19047619047619047,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2,0.35,0.5,0.3,0.2,0.2645238095238095,0.09950244701237879,75
0.02445836067199707,0.0045712927899936315,0.008793878555297851,0.0012154051515583094,euclidean,5,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 5}",0.23809523809523808,0.19047619047619047,0.19047619047619047,0.2857142857142857,0.3333333333333333,0.2,0.35,0.5,0.3,0.25,0.2838095238095238,0.09028676913187285,56
0.023412871360778808,0.003971242688883144,0.008579325675964356,0.00207904675939544,euclidean,6,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 6}",0.23809523809523808,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.2857142857142857,0.15,0.35,0.45,0.3,0.25,0.2642857142857143,0.08841640298870068,77
0.025142884254455565,0.0022649441477070997,0.009463953971862792,0.0004863327613195463,euclidean,7,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 7}",0.23809523809523808,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.2857142857142857,0.15,0.35,0.45,0.3,0.25,0.2642857142857143,0.08841640298870068,77
0.024039196968078613,0.0026290328633100397,0.009049415588378906,0.001264230705788848,euclidean,8,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 8}",0.23809523809523808,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.2857142857142857,0.15,0.35,0.45,0.3,0.25,0.2642857142857143,0.08841640298870068,77
0.02182157039642334,0.0036640003486861396,0.008561062812805175,0.001127972594942408,euclidean,9,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 9}",0.2857142857142857,0.19047619047619047,0.19047619047619047,0.2857142857142857,0.2857142857142857,0.15,0.35,0.45,0.3,0.25,0.27380952380952384,0.08230660008306478,68
0.02111966609954834,0.004555656475810722,0.007945394515991211,0.0010989934814362224,euclidean,10,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 10}",0.2857142857142857,0.19047619047619047,0.19047619047619047,0.2857142857142857,0.2857142857142857,0.15,0.35,0.45,0.3,0.25,0.27380952380952384,0.08230660008306478,68
0.021416473388671874,0.0035984353956244873,0.008264565467834472,0.0013368556871949753,euclidean,11,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 11}",0.2857142857142857,0.19047619047619047,0.19047619047619047,0.3333333333333333,0.2857142857142857,0.15,0.35,0.45,0.35,0.25,0.2835714285714286,0.08678203989870019,58
0.02127692699432373,0.003666540471791395,0.008650517463684082,0.0012916777659671803,euclidean,12,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 12}",0.2857142857142857,0.19047619047619047,0.19047619047619047,0.3333333333333333,0.2857142857142857,0.15,0.35,0.45,0.35,0.25,0.2835714285714286,0.08678203989870019,58
0.024906635284423828,0.003425869173984115,0.009992432594299317,0.0014509160863430922,euclidean,13,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 13}",0.2857142857142857,0.23809523809523808,0.19047619047619047,0.3333333333333333,0.2857142857142857,0.15,0.35,0.45,0.35,0.25,0.28833333333333333,0.08275616452228747,37
0.02449042797088623,0.004738649053381613,0.010291981697082519,0.0015340675040852816,euclidean,14,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 14}",0.2857142857142857,0.23809523809523808,0.19047619047619047,0.3333333333333333,0.2857142857142857,0.15,0.35,0.45,0.35,0.25,0.28833333333333333,0.08275616452228747,37
0.024919509887695312,0.0022468655441155038,0.010977554321289062,0.0011871428657119778,euclidean,15,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 15}",0.2857142857142857,0.23809523809523808,0.19047619047619047,0.38095238095238093,0.2857142857142857,0.15,0.35,0.45,0.35,0.25,0.2930952380952381,0.08649413753350223,15
0.02532913684844971,0.0025567306951487117,0.011948704719543457,0.0010800504486137136,euclidean,16,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 16}",0.2857142857142857,0.23809523809523808,0.19047619047619047,0.38095238095238093,0.2857142857142857,0.15,0.35,0.45,0.3,0.25,0.28809523809523807,0.08448188094861986,47
